"","step","duration","response","RT"
"1",1,"100",0.133333333333333,0.465842601213333
"2",2,"100",0.0666666666666667,0.91659917152
"3",3,"100",0.4,0.993856476
"4",4,"100",0.866666666666667,0.638022033333333
"5",5,"100",0.866666666666667,0.799906893333333
"6",6,"100",0.933333333333333,0.600209577333333
"7",7,"100",0.933333333333333,0.950430252666667
