2018-3-14,10:16:29
trial,stimulus,selection,RT
1,Step_7_300.wav,Sha,1.573663e+00
2,Step_1_300.wav,Sa,7.547669e-01
3,Step_1_300.wav,Sha,1.620030e+00
4,Step_7_300.wav,Sa,7.301471e-01
5,Step_1_300.wav,Sha,4.303989e-01
6,Step_1_300.wav,Sa,3.970158e-01
7,Step_7_300.wav,Sha,5.416732e-01
8,Step_7_300.wav,Sha,3.407926e+00
