2018-4-12,11:0:18
trial,stimulus,selection,RT
1,Step_7_300.wav,Sa,5.254350e-01
2,Step_7_300.wav,Sa,3.309162e-01
3,Step_1_300.wav,Sha,3.340271e-01
4,Step_7_300.wav,Sa,4.209471e-01
5,Step_1_300.wav,Sha,2.630100e-01
6,Step_7_300.wav,Sa,3.073280e-01
7,Step_1_300.wav,Sha,5.097690e-01
8,Step_1_300.wav,Sha,3.707950e-01
