2018-9-4,12:41:7
trial,stimulus,selection,RT
1,Step_1_300.wav,Sha,2.094310e+00
2,Step_1_300.wav,Sha,7.772720e-01
3,Step_1_300.wav,Sha,4.675221e-01
4,Step_7_300.wav,Sa,6.709661e-01
5,Step_7_300.wav,Sa,5.009310e-01
6,Step_1_300.wav,Sha,1.061618e+00
7,Step_7_300.wav,Sa,5.850632e-01
8,Step_7_300.wav,Sa,3.490939e-01
