2018-7-5,13:48:44
trial,stimulus,selection,RT
1,Step_7_300.wav,Sa,1.305499e+00
2,Step_7_300.wav,Sa,5.977261e-01
3,Step_1_300.wav,Sha,3.817639e-01
4,Step_1_300.wav,Sha,2.265050e-01
5,Step_1_300.wav,Sha,2.497640e-01
6,Step_7_300.wav,Sa,3.741729e-01
7,Step_7_300.wav,Sa,4.784970e-01
8,Step_1_300.wav,Sha,4.785299e-01
